Mods count: 209
 
                               jar name                                 | notes |             mod id             |             mod name             |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
createdieselgenerators-1.20.1-1.3.12.jar                                |       | createdieselgenerators         | Create: Diesel Generators        | 1.20.1-1.3.12                | createdieselgenerators.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 416ea3d5c1190246369bbcfa32e5e86597402264 | 3312232198     
createlowheated-forge-1.20.1-6.0.8-6.jar                                |       | createlowheated                | Create Low-Heated                | 1.20.1-6.0.8-5               | createlowheated.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | a85719a568f4dd7e7c7117e8e678a0de76375e5a | 1773873044     
Cucumber-1.20.1-7.0.16.jar                                              |       | cucumber                       | Cucumber Library                 | 7.0.16                       | cucumber.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 88a9ec30e4acb5c80a3ae060ad70b79e945293c6 | 1548502984     
cupboard-1.20.1-3.7.jar                                                 |       | cupboard                       | Cupboard utilities               | 1.20.1-3.7                   | cupboard.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 18be26e340ca77a05ee925fdb51400138b8c6539 | 2075014231     
curios-forge-5.14.1+1.20.1.jar                                          |       | curios                         | Curios API                       | 5.14.1+1.20.1                | curios.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 452175b95ad3db6ff58bb8968f6bf7a9d1e0f480 | 1288931317     
CyclopsCore-1.20.1-1.22.1.jar                                           |       | cyclopscore                    | Cyclops Core                     | 1.22.1                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 3e3787f9979dc8c63690e5d0267ea68b364191fb | 730693473      
DailyDad-forge-1.20-1.6.0.jar                                           |       | dailydad                       | Daily Dad                        | 1.6.0                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 47c1c94c36e518119ab6985e2dc94d201086c527 | 3129426885     
DefaultWorldType-1.20.1-4.0.5.jar                                       |       | defaultworldtype               | Default World Type               | 1.20.1-4.0.5                 | defaultworldtype.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | cfb8834b6d3d6f2103d846e18f4788fb38911839 | 4075250622     
DustrialDecor-1.3.5-1.20.jar                                            |       | dustrial_decor                 | 'Dustrial Decor                  | 1.3.2                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | ef86275625bd43fe6c5a1563b768568384137897 | 1734006109     
EasyAnvils-v8.0.2-1.20.1-Forge.jar                                      |       | easyanvils                     | Easy Anvils                      | 8.0.2                        | easyanvils.common.mixins.json, easyanvils.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                  | d44a8b549b27713a92d59148729bf374ff3e25f0 | 1758431750     
EdivadLib-1.20.1-2.0.1.jar                                              |       | edivadlib                      | EdivadLib                        | 2.0.1                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 7c4d3b7f341554e5a09c4fa289519a5d9b090b62 | 2063375693     
effortlessbuilding-1.20.1-3.11.jar                                      |       | effortlessbuilding             | Effortless Building              | 3.11                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 8009529f3c3baf1db92049dfffd81ba5813bf829 | 140820928      
    /META-INF/jarjar/Ponder-Forge-1.20.1-1.0.91.jar                     |       | ponder                         | Ponder                           | 1.0.91                       | ponder-common.mixins.json, ponder.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                          |                
    /META-INF/jarjar/flywheel-forge-1.20.1-1.0.6-beta-266.jar           |       | flywheel                       | Flywheel                         | 1.0.6-beta-266               | flywheel.impl.mixins.json, flywheel.impl.forge.mixins.json, flywheel.backend.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
